league,grade,division,is_finals,position,team_id,team,club,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
Guardian Insurance Over 35's Blue,SEN,SAASL,false,1,ld44MyvpdW,Western Strikers Over 35's Over 35's,Western Strikers,18,16,1,1,91,16,75,49
Guardian Insurance Over 35's Blue,SEN,SAASL,false,2,bd9XPr4lK4,Ingle Farm Over 35's Over 35's,Ingle Farm,18,14,0,4,99,30,69,42
Guardian Insurance Over 35's Blue,SEN,SAASL,false,3,2KpvXe6qmY,Adelaide Brasfoot Over 35's Over 35's,Adelaide Brasfoot,18,13,1,4,63,17,46,40
Guardian Insurance Over 35's Blue,SEN,SAASL,false,4,8NOD0xe7KZ,Modbury Jets AFC Over 35's Over 35's,Modbury Jets AFC,18,11,0,7,77,39,38,33
Guardian Insurance Over 35's Blue,SEN,SAASL,false,5,jdyexWGLd5,BOSA Over 35's Over 35's,BOSA,18,9,1,8,61,46,15,28
Guardian Insurance Over 35's Blue,SEN,SAASL,false,6,jmaV1aZMNR,Salisbury Inter Soccer Club Over 35's Over 35's 1,Salisbury Inter Soccer Club,18,7,2,9,35,38,-3,23
Guardian Insurance Over 35's Blue,SEN,SAASL,false,7,Ome0aQ2vd0,Tea Tree Gully Over 35's Over 35's 1,Tea Tree Gully,18,5,2,11,49,57,-8,17
Guardian Insurance Over 35's Blue,SEN,SAASL,false,8,nmYyA6wxmz,Old Ignatians Soccer Club Over 35's Over 35's,Old Ignatians Soccer Club,18,5,2,11,40,73,-33,17
Guardian Insurance Over 35's Blue,SEN,SAASL,false,9,MNGolVXENA,West Beach Football Club Over 35's Over 35's,West Beach Football Club,18,5,1,12,56,69,-13,16
Guardian Insurance Over 35's Blue,SEN,SAASL,false,10,am1QM1Xqmw,Gawler Eagles Over 35's Over 35's,Gawler Eagles,18,0,0,18,10,196,-186,0
Guardian Insurance Over 35's Red,SEN,SAASL,false,1,ld4OgP6eKW,Munno Para Over 35's Over 35's,Munno Para,14,12,0,2,65,17,48,36
Guardian Insurance Over 35's Red,SEN,SAASL,false,2,jmaBDBRqNR,Salisbury Inter Soccer Club Over 35's Over 35's 2,Salisbury Inter Soccer Club,14,11,2,1,42,16,26,35
Guardian Insurance Over 35's Red,SEN,SAASL,false,3,8NOD0xGBKZ,Pitbulls Football Club Over 35's Over 35's,Pitbulls Football Club,14,6,1,7,36,36,0,19
Guardian Insurance Over 35's Red,SEN,SAASL,false,4,WdgplpLpmR,Tea Tree Gully Over 35's Over 35's 2,Tea Tree Gully,14,5,3,6,38,32,6,18
Guardian Insurance Over 35's Red,SEN,SAASL,false,5,yKJbMb1AKY,Greenacres United Over 35's Over 35's,Greenacres United,14,5,2,7,33,40,-7,17
Guardian Insurance Over 35's Red,SEN,SAASL,false,6,pN6Oy1g2K0,Para Hills West Soccer Club Over 35's Over 35's,Para Hills West Soccer Club,14,5,2,7,32,39,-7,17
Guardian Insurance Over 35's Red,SEN,SAASL,false,7,MNGogMxBNA,Gleeson Football Club Over 35's Over 35's,Gleeson Football Club,14,4,1,9,25,46,-21,13
Guardian Insurance Over 35's Red,SEN,SAASL,false,8,lNbjQj1pNx,Andrews Farm Soccer & Community Club Over 35's Over 35's,Andrews Farm Soccer & Community Club,14,2,1,11,16,61,-45,7
